,date,timestamp,individuals
0,2014-03-31,1396224000,398264
1,2014-06-30,1404086400,513868
2,2014-09-30,1412035200,589560
3,2014-10-31,1414713600,591356
4,2014-11-30,1417305600,591356
5,2014-12-31,1419984000,616149
6,2015-01-31,1422662400,617634
7,2015-02-28,1425081600,625069
8,2015-03-31,1427760000,651450
9,2015-04-30,1430352000,655276
10,2015-05-31,1433030400,662950
11,2015-06-30,1435622400,740522
12,2015-07-31,1438300800,748137
13,2015-08-31,1440979200,753019
14,2015-09-30,1443571200,769975
15,2015-10-31,1446249600,770138
16,2015-11-30,1448841600,762550
17,2015-12-31,1451520000,778072
18,2016-01-31,1454198400,787180
19,2016-02-29,1456704000,769325
20,2016-03-31,1459382400,840498
21,2016-04-30,1461974400,799783
22,2016-05-31,1464652800,854966
23,2016-06-30,1467244800,847173
24,2016-07-31,1469923200,864057
25,2016-08-31,1472601600,947281
26,2016-09-30,1475193600,1146984
27,2016-10-31,1477872000,1288334
28,2016-11-30,1480464000,1367629
29,2016-12-31,1483142400,1431005
30,2017-01-31,1485820800,1526750
31,2017-02-28,1488240000,1643784
32,2017-03-19,1489881600,1646403
33,2017-03-31,1490918400,1770807
34,2017-04-30,1493510400,1824837
35,2017-05-31,1496188800,1887218
36,2017-06-30,1498780800,1952229
37,2017-07-31,1501459200,1984010
38,2017-08-31,1504137600,2055153
39,2017-09-01,1504224000,2055153
40,2017-09-15,1505433600,2055930
41,2017-09-18,1505692800,2055930
42,2017-09-30,1506729600,2110380
43,2017-10-01,1506816000,2105813
44,2017-10-15,1508025600,2108017
45,2017-10-31,1509408000,2112169
46,2017-11-15,1510704000,2456600
47,2017-11-30,1512000000,2474970
48,2017-12-15,1513296000,2457216
49,2017-12-19,1513641600,2457667
50,2017-12-31,1514678400,2426049
51,2018-01-15,1515974400,2427818
52,2018-01-31,1517356800,2436675
53,2018-02-15,1518652800,2437280
54,2018-02-28,1519776000,2463099
55,2018-03-15,1521072000,2460064
56,2018-03-31,1522454400,2467875
57,2018-04-15,1523750400,2471364
58,2018-04-30,1525046400,2470248
59,2018-05-15,1526342400,2472832
60,2018-05-31,1527724800,2481522
61,2018-06-15,1529020800,2484442
62,2018-06-30,1530316800,2485950
63,2018-07-31,1532995200,2495764
64,2018-08-15,1534291200,2489548
65,2018-08-31,1535673600,2466250
66,2018-09-15,1536969600,2466014
67,2018-09-30,1538265600,2467911
68,2018-10-31,1540944000,2181316
