,date,timestamp,individuals,to,Year,Month,Day
0,2014-10-31,1414713600,1796,DRC,2014,10,31
1,2014-11-30,1417305600,1796,DRC,2014,11,30
2,2014-12-31,1419984000,1796,DRC,2014,12,31
3,2015-01-31,1422662400,1796,DRC,2015,01,31
4,2015-02-28,1425081600,1796,DRC,2015,02,28
5,2015-03-31,1427760000,1783,DRC,2015,03,31
6,2015-04-30,1430352000,1783,DRC,2015,04,30
7,2015-05-31,1433030400,1783,DRC,2015,05,31
8,2015-06-30,1435622400,1783,DRC,2015,06,30
9,2015-07-31,1438300800,1783,DRC,2015,07,31
10,2015-08-31,1440979200,1783,DRC,2015,08,31
11,2015-09-30,1443571200,1783,DRC,2015,09,30
12,2015-10-31,1446249600,1783,DRC,2015,10,31
13,2015-11-30,1448841600,1783,DRC,2015,11,30
14,2015-12-31,1451520000,5596,DRC,2015,12,31
15,2016-01-31,1454198400,6726,DRC,2016,01,31
16,2016-02-29,1456704000,6726,DRC,2016,02,29
17,2016-03-31,1459382400,12911,DRC,2016,03,31
18,2016-04-30,1461974400,12912,DRC,2016,04,30
19,2016-05-31,1464652800,12912,DRC,2016,05,31
20,2016-06-30,1467244800,12912,DRC,2016,06,30
21,2016-07-31,1469923200,12912,DRC,2016,07,31
22,2016-08-31,1472601600,29042,DRC,2016,08,31
23,2016-09-30,1475193600,53974,DRC,2016,09,30
24,2016-10-31,1477872000,60261,DRC,2016,10,31
25,2016-11-30,1480464000,64755,DRC,2016,11,30
26,2016-12-31,1483142400,66672,DRC,2016,12,31
27,2017-01-31,1485820800,68188,DRC,2017,01,31
28,2017-02-28,1488240000,71529,DRC,2017,02,28
29,2017-03-19,1489881600,74148,DRC,2017,03,19
30,2017-03-31,1490918400,77356,DRC,2017,03,31
31,2017-04-30,1493510400,77356,DRC,2017,04,30
32,2017-05-31,1496188800,79495,DRC,2017,05,31
33,2017-06-30,1498780800,80775,DRC,2017,06,30
34,2017-07-31,1501459200,82322,DRC,2017,07,31
35,2017-08-31,1504137600,84352,DRC,2017,08,31
36,2017-09-30,1506729600,85426,DRC,2017,09,30
37,2017-10-31,1509408000,87199,DRC,2017,10,31
38,2017-11-30,1512000000,88140,DRC,2017,11,30
39,2017-12-31,1514678400,88970,DRC,2017,12,31
40,2018-01-31,1517356800,90003,DRC,2018,01,31
41,2018-03-31,1522454400,91038,DRC,2018,03,31
42,2018-04-30,1525046400,91351,DRC,2018,04,30
43,2018-05-31,1527724800,92700,DRC,2018,05,31
44,2018-06-30,1530316800,93087,DRC,2018,06,30
45,2018-07-31,1532995200,93564,DRC,2018,07,31
46,2018-08-31,1535673600,93995,DRC,2018,08,31
47,2018-09-30,1538265600,94446,DRC,2018,09,30
48,2018-10-31,1540944000,95181,DRC,2018,10,31
