,date,timestamp,individuals,to,period_change,Year,Month,Day
0,2013-12-31,1388448000,46176,Kenya,0.0,2013,12,31
1,2014-03-31,1396224000,63211,Kenya,17035.0,2014,03,31
2,2014-06-30,1404086400,76310,Kenya,13099.0,2014,06,30
3,2014-09-30,1412035200,87205,Kenya,10895.0,2014,09,30
4,2014-12-31,1419984000,89474,Kenya,2269.0,2014,12,31
5,2015-03-31,1427760000,92317,Kenya,2843.0,2015,03,31
6,2015-06-30,1435622400,95086,Kenya,2769.0,2015,06,30
7,2015-09-30,1443571200,90240,Kenya,-4846.0,2015,09,30
8,2015-12-31,1451520000,95765,Kenya,5525.0,2015,12,31
9,2016-01-31,1454198400,96648,Kenya,883.0,2016,01,31
10,2016-02-29,1456704000,98142,Kenya,1494.0,2016,02,29
11,2016-03-31,1459382400,99315,Kenya,1173.0,2016,03,31
12,2016-04-30,1461974400,101632,Kenya,2317.0,2016,04,30
13,2016-05-31,1464652800,103247,Kenya,1615.0,2016,05,31
14,2016-06-30,1467244800,87030,Kenya,-16217.0,2016,06,30
15,2016-07-31,1469923200,87924,Kenya,894.0,2016,07,31
16,2016-08-31,1472601600,90247,Kenya,2323.0,2016,08,31
17,2016-09-30,1475193600,91212,Kenya,965.0,2016,09,30
18,2016-10-31,1477872000,91236,Kenya,24.0,2016,10,31
19,2016-11-30,1480464000,91224,Kenya,-12.0,2016,11,30
20,2016-12-31,1483142400,88391,Kenya,-2833.0,2016,12,31
21,2017-01-31,1485820800,90864,Kenya,2473.0,2017,01,31
22,2017-02-28,1488240000,93613,Kenya,2749.0,2017,02,28
23,2017-03-31,1490918400,95283,Kenya,1670.0,2017,03,31
24,2017-04-30,1493510400,97147,Kenya,1864.0,2017,04,30
25,2017-05-31,1496188800,101713,Kenya,4566.0,2017,05,31
26,2017-06-30,1498780800,105899,Kenya,4186.0,2017,06,30
27,2017-07-31,1501459200,107899,Kenya,2000.0,2017,07,31
28,2017-08-31,1504137600,109222,Kenya,1323.0,2017,08,31
29,2017-09-30,1506729600,110377,Kenya,1155.0,2017,09,30
30,2017-11-30,1512000000,110910,Kenya,533.0,2017,11,30
31,2017-12-19,1513641600,111361,Kenya,451.0,2017,12,19
32,2017-12-31,1514678400,111612,Kenya,251.0,2017,12,31
33,2018-01-31,1517356800,112425,Kenya,813.0,2018,01,31
34,2018-02-15,1518652800,113030,Kenya,605.0,2018,02,15
35,2018-02-28,1519776000,113039,Kenya,9.0,2018,02,28
36,2018-03-15,1521072000,113388,Kenya,349.0,2018,03,15
37,2018-03-31,1522454400,114090,Kenya,702.0,2018,03,31
38,2018-04-15,1523750400,114547,Kenya,457.0,2018,04,15
39,2018-04-30,1525046400,113746,Kenya,-801.0,2018,04,30
40,2018-05-15,1526342400,114199,Kenya,453.0,2018,05,15
41,2018-05-31,1527724800,114689,Kenya,490.0,2018,05,31
42,2018-06-30,1530316800,114466,Kenya,-223.0,2018,06,30
43,2018-07-31,1532995200,114542,Kenya,76.0,2018,07,31
44,2018-08-15,1534291200,114817,Kenya,275.0,2018,08,15
45,2018-08-31,1535673600,114765,Kenya,-52.0,2018,08,31
46,2018-09-30,1538265600,114830,Kenya,65.0,2018,09,30
47,2018-10-31,1540944000,114391,Kenya,-439.0,2018,10,31
